feature_set,model_name,evaluation_type,cv_accuracy,cv_precision,cv_recall,cv_f1_score,cv_roc_auc,cv_rb_recall,cv_brier_score,cv_log_loss,cv_ece,cv_mean_confidence,cv_mean_uncertainty,cv_mean_entropy,cv_mean_uncertainty_correct,cv_mean_uncertainty_incorrect,cv_mean_entropy_correct,cv_mean_entropy_incorrect,cv_mean_confidence_incorrect,cv_incorrect_count,cross_accuracy,cross_precision,cross_recall,cross_f1_score,cross_roc_auc,cross_rb_recall,cross_brier_score,cross_log_loss,cross_ece,cross_mean_confidence,cross_mean_uncertainty,cross_mean_entropy,cross_mean_uncertainty_correct,cross_mean_uncertainty_incorrect,cross_mean_entropy_correct,cross_mean_entropy_incorrect,cross_mean_confidence_incorrect,cross_incorrect_count,selective_accuracy_25,selective_accuracy_50,candidate,cv_uncertainty_gap,cross_uncertainty_gap,accuracy_drop,brier_increase,overconfidence_shift,score_accuracy,score_roc_auc,score_calibration,score_uncertainty,score_selective,score_cross_accuracy,score_cross_calibration,score_cross_uncertainty,score_cross_overconfidence,overall_reliability_score,overall_rank,cv_accuracy_rank,cv_calibration_rank,cross_accuracy_rank,cross_calibration_rank
top_ranked,random_forest_classifier,stratified_cv,0.8625592417061612,0.8187311178247734,0.7612359550561798,0.7889374090247453,0.9249811126649629,0.7612359550561798,0.10034906347345263,0.3312479181875105,0.02974024907513063,0.8328189926310307,0.16718100736896946,0.3761490802775481,0.1442189382880042,0.311287785739165,0.34509232581434374,0.5710569875983477,0.688712214260835,145.0,0.5848341232227489,0.3710691823899371,0.33146067415730335,0.35014836795252224,0.5168981369854206,0.33146067415730335,0.2998030341514522,1.2261551137721964,0.21142883848642144,0.7861074638280798,0.21389253617192003,0.4319215068243495,0.2058990796480667,0.2251527249281245,0.4199819147464991,0.44874052123538544,0.7748472750718756,438.0,0.803030303030303,0.7888257575757576,top_ranked | random_forest_classifier,0.1670688474511608,0.019253645280057796,0.2777251184834123,0.19945397067799958,0.0,0.9172932330827068,0.924128772924667,0.8560156988879127,0.8799106331665658,0.9597701149425286,0.8735177865612649,0.9290898464135029,0.911308389285434,0.5602375439491999,0.8859987864815809,1.0,4.5,4.0,2.0,3.0
top_ranked,feedforward_neural_network,stratified_cv,0.8578199052132701,0.8159509202453987,0.7471910112359551,0.7800586510263929,0.9094452749513752,0.7471910112359551,0.1050177714876049,0.3767806139767214,0.024736977539676956,0.8772139380847518,0.12278606191524821,0.28284944740790585,0.10111861569561377,0.25351298744037604,0.24936482934909823,0.4848733096960453,0.7464870125596239,150.0,0.576303317535545,0.4021505376344086,0.5252808988764045,0.45554202192448234,0.5810146115638714,0.5252808988764045,0.26555661791500557,0.7756302564019619,0.11601894339545037,0.6906979803821006,0.3093020196178993,0.5511641675472998,0.2963779566230188,0.32688105832234543,0.5274864836100492,0.5833700553187723,0.6731189416776547,447.0,0.8068181818181819,0.7613636363636364,top_ranked | feedforward_neural_network,0.15239437174476228,0.03050310169932663,0.28151658767772514,0.16053884642740068,1.1102230246251565e-16,0.8796992481203003,0.7853784588881307,0.7862529057241637,0.5657955327709178,0.9712643678160922,0.8557312252964426,0.9983097020030252,0.9670877094149491,1.0,0.8446951287297173,2.0,7.0,5.0,3.0,1.5
top_ranked,logistic_regression,stratified_cv,0.8473933649289099,0.8,0.7303370786516854,0.7635829662261381,0.9002025365289097,0.7303370786516854,0.1137851130700917,0.3776264205041638,0.026804181625312867,0.8268982995283144,0.17310170047168558,0.3817760630274613,0.1513449739699974,0.29391234328230204,0.3513719172535782,0.5506040526041786,0.7060876567176979,161.0,0.6454976303317536,0.4819277108433735,0.6741573033707865,0.5620608899297423,0.6748927038626609,0.6741573033707865,0.26406597266389487,0.9650618701980617,0.16738069416857068,0.8128783245003242,0.1871216754996758,0.3936389904607336,0.17395517973430327,0.21109596324357596,0.3755697491921881,0.4265404698828711,0.7889040367564241,374.0,0.8106060606060606,0.8238636363636365,top_ranked | logistic_regression,0.14256736931230463,0.03714078350927269,0.20189573459715637,0.15028085959380316,0.0,0.7969924812030071,0.702831712306643,0.7255231212514687,0.355443223262935,0.982758620689655,1.0,0.9872233964351362,1.0,0.4994714246561357,0.7971128927687853,3.0,8.0,6.666666666666667,1.0,1.5
full_enhanced,random_forest_classifier,stratified_cv,0.8710900473933649,0.8481012658227848,0.7528089887640449,0.7976190476190477,0.9334763948497855,0.7528089887640449,0.09502432710256686,0.3463918742838342,0.03865382681768446,0.8324362205756806,0.16756377942431958,0.3785067428086172,0.14530373161766588,0.3179827789413395,0.34891695665567857,0.5784553712979597,0.6820172210586605,136.0,0.44360189573459713,0.23448275862068965,0.28651685393258425,0.2579013906447535,0.31934264036906657,0.28651685393258425,0.4312676708244677,2.8870270900469053,0.3611571094066729,0.8047590051412701,0.19524099485872998,0.4076630293443123,0.22893882670015708,0.16837458037527528,0.4743085236769713,0.3545282911029419,0.8316254196247248,587.0,0.5909090909090909,0.6685606060606061,full_enhanced | random_forest_classifier,0.1726790473236736,-0.060564246324881804,0.4274881516587678,0.33624334372190084,1.1102230246251565e-16,0.9849624060150375,1.0,0.7906467689737006,1.0,0.31609195402298856,0.5790513833992095,0.6679962981320788,0.5155392461409833,0.31479072038031186,0.7421009984235476,4.0,2.0,4.666666666666667,5.0,5.5
full_enhanced,logistic_regression,stratified_cv,0.8729857819905213,0.8189655172413793,0.800561797752809,0.8096590909090909,0.9250253170661137,0.800561797752809,0.09801439737734664,0.3331035457220169,0.027995517692525864,0.8688346742286968,0.13116532577130335,0.29921179225032035,0.11226047526214275,0.261100902778295,0.2688855655260585,0.5076480221984182,0.7388990972217049,134.0,0.43507109004739336,0.25103734439834025,0.3398876404494382,0.28878281622911695,0.3931177765989937,0.3398876404494382,0.4877431660116814,2.5681865961240686,0.4582801426107008,0.889120928113396,0.11087907188660391,0.2456182857898937,0.12758273569458703,0.09801500865193236,0.27085521248545796,0.22618246472737022,0.9019849913480675,596.0,0.7215909090909091,0.6865530303030303,full_enhanced | logistic_regression,0.14884042751615226,-0.029567727042654673,0.437914691943128,0.38972876863433475,-1.1102230246251565e-16,1.0,0.9245235617126646,0.8770876304861043,0.4897214316918849,0.7126436781609194,0.5612648221343873,0.625461488037816,0.6692324298385128,0.010632605965577913,0.7288238291034242,5.0,1.0,3.3333333333333335,6.0,5.5
full_enhanced,feedforward_neural_network,stratified_cv,0.8625592417061612,0.8112094395280236,0.7724719101123596,0.7913669064748201,0.9129655527157577,0.7724719101123596,0.10712486247056417,0.4270039812285681,0.04081200304249812,0.879569647086983,0.12043035291301685,0.26166656588773984,0.10054053844360826,0.2452560851003398,0.2285513119565197,0.46949333193884557,0.7547439148996602,145.0,0.4815165876777251,0.2720763723150358,0.3202247191011236,0.29419354838709677,0.4336612496182347,0.3202247191011236,0.37402747718189816,1.8989572096019698,0.3149230324545099,0.796439620132235,0.20356037986776498,0.37991433482645365,0.19614728498980483,0.21044493598842998,0.35001675161591456,0.407680280477192,0.7895550640115699,547.0,0.8162878787878788,0.7168560606060606,full_enhanced | feedforward_neural_network,0.14471554665673153,0.01429765099862515,0.38104265402843607,0.266902614711334,-1.1102230246251565e-16,0.9172932330827068,0.8168180023687329,0.5678024151118052,0.40142612280312717,1.0,0.658102766798419,0.7995454778224065,0.8867345804469403,0.49665709225604127,0.7268994323498255,6.0,4.5,9.333333333333334,4.0,4.0
reduced_hybrid,random_forest_classifier,stratified_cv,0.8606635071090047,0.8119402985074626,0.7640449438202247,0.7872648335745297,0.9163311150761118,0.7640449438202247,0.10476755099153118,0.34894353195943645,0.029101174347856834,0.8315623327611479,0.16843766723885206,0.3800110971190668,0.14753482287210262,0.29755183516408007,0.351401526616604,0.556728716277136,0.70244816483592,147.0,0.2890995260663507,0.11067193675889328,0.15730337078651685,0.12993039443155452,0.18393250389802446,0.15730337078651685,0.5012155042183967,3.1900652639513467,0.4913201647483638,0.7804196908147145,0.21958030918528548,0.4401607657885261,0.27004959114959115,0.1990561345198012,0.5211511930024193,0.40722465872154273,0.8009438654801988,750.0,0.5606060606060607,0.5852272727272727,reduced_hybrid | random_forest_classifier,0.15001701229197745,-0.07099345662978995,0.571563981042654,0.3964479532268655,0.0,0.9022556390977442,0.8468757850913375,0.8062997246342296,0.5149068660731059,0.2241379310344829,0.2569169960474308,0.568240821799356,0.46382703546926807,0.44742432555071643,0.5942864031649333,7.0,6.0,5.0,8.0,8.0
reduced_hybrid,feedforward_neural_network,stratified_cv,0.8654028436018958,0.8282208588957055,0.7584269662921348,0.7917888563049853,0.9113983057658613,0.7584269662921348,0.10592519413181906,0.3716978966749756,0.03134151297841098,0.8784740080330693,0.12152599196693081,0.2867470417212633,0.10457184168370769,0.23053401456258357,0.25943084424589197,0.46237864943262963,0.7694659854374164,142.0,0.22748815165876776,0.1328,0.23314606741573032,0.1692150866462793,0.15221584607223804,0.23314606741573032,0.6576930679425561,3.2328612978485003,0.6486816191633484,0.8761697708221161,0.12383022917788383,0.2750872924603336,0.21064318842912444,0.09826567676034059,0.42528179252006276,0.23085823722802068,0.9017343232396594,815.0,0.5454545454545454,0.5255681818181819,reduced_hybrid | feedforward_neural_network,0.1259621728788759,-0.11237751166878385,0.637914691943128,0.551767873810737,0.0,0.9398496240601506,0.8028209453396972,0.7429293456991987,0.0,0.17816091954022972,0.1284584980237154,0.3879186361303711,0.258628280236653,0.011716221702994689,0.4659682016569599,8.0,3.0,6.666666666666667,10.0,10.5
proxy_only,random_forest_classifier,stratified_cv,0.8255924170616113,0.7704402515723271,0.6882022471910112,0.7270029673590505,0.8924225619263473,0.6882022471910112,0.12363065996782754,0.392169855161466,0.021880278736193814,0.8037121383254177,0.19628786167458234,0.4223543867529133,0.17078835354287078,0.31699477245023866,0.3881657345460795,0.5841930610580887,0.6830052275497613,184.0,0.24928909952606634,0.017699115044247787,0.02247191011235955,0.019801980198019802,0.04757599138416035,0.02247191011235955,0.6143863070881056,4.614873826377557,0.583101216079604,0.8321505357039042,0.1678494642960958,0.35211798593321086,0.29136927484059183,0.12683215347134524,0.5514455723816165,0.28592713336259135,0.8731678465286548,792.0,0.48674242424242425,0.509469696969697,proxy_only | random_forest_classifier,0.14620641890736788,-0.1645371213692466,0.576303317535545,0.4907556471202781,0.0,0.6240601503759394,0.6333488856189196,0.6852950169889116,0.43333905080514956,0.0,0.17391304347826086,0.34381311183012625,0.0,0.13520653693765938,0.40657038201808354,9.0,9.0,6.333333333333333,9.0,10.5
reduced_hybrid,logistic_regression,stratified_cv,0.8208530805687204,0.7684887459807074,0.6713483146067416,0.7166416791604198,0.8785986401118774,0.6713483146067416,0.13053841368688313,0.4163046616587201,0.02402882974006438,0.8009329982825005,0.1990670017174995,0.4245258465180458,0.1756461528649862,0.30638157899938606,0.39359770341791794,0.5662389254847688,0.693618421000614,189.0,0.3127962085308057,0.2121684867394696,0.38202247191011235,0.2728184553660983,0.2300115735159377,0.38202247191011235,0.5788106220517638,3.108324691545849,0.5452995581743698,0.8580957667051754,0.14190423329482452,0.3047434234347127,0.2100093733276968,0.11090465231434474,0.4348419392338797,0.2455261679675057,0.8890953476856552,725.0,0.5530303030303031,0.5369318181818181,reduced_hybrid | logistic_regression,0.13073542613439987,-0.09910472101335208,0.5080568720379147,0.4482722083648807,0.0,0.5864661654135339,0.50988766464487,0.5911108572495679,0.10217407119485729,0.2011494252873565,0.30632411067193677,0.4857659971194232,0.32444010361624753,0.066353378787401,0.40291633917871505,10.0,10.0,7.333333333333333,7.0,8.0
proxy_only,feedforward_neural_network,stratified_cv,0.8132701421800947,0.7002518891687658,0.7808988764044944,0.7383798140770252,0.8773488611338831,0.7808988764044944,0.13754250307956037,0.5150540052111323,0.059505445104702986,0.8680597744309334,0.13194022556906654,0.2875618904071925,0.10726556997584995,0.2394064920613499,0.24571672298433062,0.46981140131488514,0.7605935079386501,197.0,0.1962085308056872,0.023255813953488372,0.033707865168539325,0.027522935779816515,0.07947147610551189,0.033707865168539325,0.5741698191374458,8.188852903344095,0.6130048993205355,0.8092134301262226,0.19078656987377743,0.35926883133354437,0.21342108572002344,0.1852613991424414,0.38282927818818885,0.353517637348979,0.8147386008575586,848.0,0.5340909090909092,0.5549242424242424,proxy_only | feedforward_neural_network,0.13214092208549993,-0.028159686577582027,0.6170616113744075,0.4366273160578854,0.0,0.5263157894736836,0.49872590891145985,0.11906811279519754,0.132259473264314,0.14367816091954044,0.0632411067193676,0.14836173451873186,0.676214059610603,0.3877909224691004,0.2594479939721029,11.0,11.0,11.666666666666666,11.0,10.0
proxy_only,logistic_regression,stratified_cv,0.7469194312796209,0.6297376093294461,0.6067415730337079,0.6180257510729614,0.8215066467345002,0.6067415730337079,0.16117003796534304,0.4797334562996816,0.01361025634961493,0.756134263549261,0.24386573645073897,0.4742904469102558,0.2084156138866434,0.34849006821293865,0.4256029029450737,0.6179825242307183,0.6515099317870613,267.0,0.16587677725118483,0.016605166051660517,0.025280898876404494,0.0200445434298441,0.08606195045892207,0.025280898876404494,0.7050075266911972,3.183056555869595,0.7235046366375025,0.8893814138886873,0.11061858611131273,0.26166480182621227,0.18636482186463565,0.09555541422854966,0.3842425241722723,0.2372885502233026,0.9044445857714504,880.0,0.5284090909090909,0.5018939393939393,proxy_only | logistic_regression,0.14007445432629526,-0.090809407636086,0.5810426540284361,0.5438374887258541,0.0,0.0,0.0,0.3973873398924514,0.30208102778996754,0.12643678160919547,0.0,0.33762619753093026,0.3655715968368994,0.0,0.15601446179650794,12.0,12.0,8.0,12.0,10.0
